NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 2.17,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Liso,Sem preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 2.18,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Difuso,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 2.19,Barra D’Anta,A2,Superfície,I,Indeterminado,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,1,Uma cicatriz apenas,Helicoidal,,,,,,,
Ant 2.20,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,4 a 5 cm,6 a 7 cm,1 a 2 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,2,Paralela,Retilíneo,,,,,,,
Ant 2.21,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,5 a 6 cm,3 a 4 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Retilíneo,,,,,,,
Ant 2.22,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,3 a 4 cm,6 a 7 cm,1 a 2 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,2,Paralela,Curvo,,,,,,,
Ant 2.23,Barra D’Anta,A2,Superfície,I,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,,,,,,,,,,,,,,,
Ant 2.24,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Diedro,Sem preparação,Com formação de lábio,Difuso,2,Paralela,Helicoidal,,,,,,,
Ant 2.25,Barra D’Anta,A2,Superfície,I,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 2.26,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,4 ou +,Ortogonal,Helicoidal,,,,,,,
Ant 2.27,Barra D’Anta,A2,Superfície,I,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2.28,Barra D’Anta,A2,Superfície,I,Sem transformação,Basalto,Natural,Seixo,Sem alteração,15 a 16 cm,10 a 11 cm,8 a 9 cm,,,,,,,,,,,,,,,
